111;18228;RINI;KALIGESING;PURWOREJO;LK;504-621-8927
112;19046;SOKIMAN;KALIGESING;PURWOREJO;LK;810-292-9388
113;11485;QOMARIYANTO;GEDANGSARI;GUNUNGKIDUL;DK;856-636-8749
114;19325;WENDI KURNIA;SAWANGAN;MAGELANG;DK;907-385-4412
115;13321;SUTARYANA;GEDANGSARI;GUNUNGKIDUL;DK;513-570-1893
116;19212;SEFANI;PRINGSURAT;TEMANGGUNG;LK;419-503-2484
117;19211;SUPRIYADI;CANDIROTO;TEMANGGUNG;LK;773-573-6914
118;13301;DEDI;PENGASIH;KULONPROGO;DK;408-752-3500
119;13265;SETIYONO;LENDAH;KULONPROGO;DK;605-414-2147
120;13314;MUH ARI WIBOWO;GANTIWARNO;KLATEN;DK;410-655-8723
121;17858;WITRIYANTO;PENGASIH;KULONPROGO;DK;215-874-1229
122;19307;HARIS;KALIANGKRIK;MAGELANG;LK;631-335-3414
123;18387;WAHYU SUCIPTO;CANDIROTO;TEMANGGUNG;LK;310-498-5651
124;13304;DUL HADI;BANDONGAN;MAGELANG;DK;440-780-8425
125;13272;ROBERT;SAWANGAN;MAGELANG;LK;956-537-6195
126;18739;ANDI CAHYANTO;SAWANGAN;MAGELANG;DK;602-277-4385
127;13316;PRAWITA;GANTIWARNO;KLATEN;DK;931-313-9635
128;13304;NGADIRIN;PENGASIH;KULONPROGO;DK;414-661-9598
129;13265;MUHLASIH 2;LENDAH;KULONPROGO;DK;313-288-7937
130;13316;ANANG;TULUNG KLATEN;KLATEN;DK;815-828-2147
131;19192;SUTIYO;LENDAH;KULONPROGO;DK;610-545-3615
132;1A224;SUGENG;PENGASIH;KULONPROGO;DK;408-540-1785
133;13258;SUBIRMAN;GEDANGSARI;GUNUNGKIDUL;LK;972-303-9197
134;14819;MIRANTO;GEDANGSARI;GUNUNGKIDUL;LK;518-966-7987
135;19192;JUMANTO;PENGASIH;KULONPROGO;DK;732-658-3154
136;13266;ANDI DWI CAHYONO;PLAYEN;GUNUNGKIDUL;DK;715-662-6764
137;15167;SAHID;LENDAH;KULONPROGO;DK;913-388-2079
138;17858;SUKASWANTO;LENDAH;KULONPROGO;DK;410-669-1642
139;13270;JUMARI;SENTOLO;KULONPROGO;DK;212-582-4976
140;1A224;SUPRAPTOYO;GEDANGSARI;GUNUNGKIDUL;LK;936-336-3951
141;15167;KLIJO;LENDAH;KULONPROGO;DK;614-801-9788
142;19212;SUKIMIN;LENDAH;KULONPROGO;DK;505-977-3911
143;19348;MUHLASIH 1;LENDAH;KULONPROGO;DK;201-709-6245
144;18387;SYARIF HADI;LENDAH;KULONPROGO;DK;732-924-7882
145;15167;BARYANTO;SENTOLO;KULONPROGO;DK;212-860-1579
146;19046;AGUNG MIYANA;LENDAH;KULONPROGO;DK;504-979-9175
147;18290;SUMARTINI;GEDANGSARI;GUNUNGKIDUL;DK;212-675-8570
148;14347;SUBUR;SENTOLO;KULONPROGO;DK;805-832-6163
149;19558;AGUNG;DONOMULYO, NANGGULAN;KULONPROGO;DK;210-812-9597
150;14347;YOTO;LENDAH;KULONPROGO;DK;785-463-7829
151;13290;UNTUNG;PANDAK;BANTUL;DK;541-548-8197
152;18387;TUKIMAN;PAKEM;SLEMAN;DK;913-413-4604
153;13301;TIKIMIN 3;LENDAH;KULONPROGO;DK;907-231-4722
154;19348;TEGO;LENDAH;KULONPROGO;DK;305-606-7291
155;19484;SUHARMOKO;NANGGULAN;KULONPROGO;DK;907-741-1044
156;13225;SUGITO;PANDAK;BANTUL;DK;952-768-2416
157;19192;SLAMET;NANGGULAN;KULONPROGO;DK;617-399-5124
158;13315;SAHID;LENDAH;KULONPROGO;DK;323-453-2780
159;18387;ROHA;KASIHAN;BANTUL;DK;608-336-7444
160;19307;PARJO C;PANDAK;KULONPROGO;DK;215-907-9111
161;13296;PARJO B;PANDAK;BANTUL;DK;212-402-9216
162;19558;MURDI;PANDAK;BANTUL;DK;931-875-6644
163;17201;MUGIYONO;PANDAK;BANTUL;DK;803-925-5213
164;13258;KLEJO;LENDAH;KULONPROGO;DK;610-814-5533
165;13230;KASWANTO;PANDAK;BANTUL;DK;908-877-6135
166;13225;KASIATI;LENDAH;KULONPROGO;DK;516-968-6051
167;13265;JUNI;LENDAH;BANTUL;DK;215-934-8655
168;19044;JUMARNO;SANDEN;BANTUL;DK;818-423-4007
169;18387;JUMARI A;NANGGULAN;KULONPROGO;DK;401-458-2547
170;13304;GUNAWAN;PAKEM;SLEMAN;DK;215-211-9589
171;13225;GITO;LENDAH;KULONPROGO;DK;401-960-8259
172;13256;EKO;KOKAP;KULONPROGO;DK;732-234-1546
173;13276;EFENDI;DLINGO;BANTUL;DK;512-486-3817
174;14819;DARMI;LENDAH;KULONPROGO;DK;303-724-7371
175;17201;BASUKI;LENDAH;KULONPROGO;DK;414-748-1374
176;19212;BAMBANG;LENDAH;KULONPROGO;DK;212-674-9610
177;15092;ARIF Y;LENDAH;KULONPROGO;DK;907-797-9628
178;19348;ANDRI D;LENDAH;KULONPROGO;DK;814-393-5571
179;13256;ANDRI C;LENDAH;KULONPROGO;DK;410-914-9018
180;13803;ANDRI A;LENDAH;KULONPROGO;DK;208-862-5339
181;14491;ALI S;LENDAH;KULONPROGO;DK;415-315-2761
182;15205;AKIR;SRANDAKAN;KULONPROGO;DK;919-225-9345
183;17858;AGUS;PANDAK;BANTUL;DK;650-528-5783
184;19484;ANTOK 3;NANGGULAN;KULONPROGO;DK;925-647-3298
185;15220;SUHARMAN;NGOMBOL;PURWOREJO;LK;740-343-8575
186;13314;SARDILAH 2;PENGASIH;KULONPROGO;DK;585-866-8313
187;15220;TEKNO 2;BANYUROTO, NANGGULAN;KULONPROGO;DK;410-520-4832
188;13265;IRWAN 3;MERDIKOREJO, TEMPEL;SLEMAN;DK;973-354-2040
189;19212;RIYADI;NANGGULAN;KULONPROGO;DK;773-446-5569
190;13315;SUSILA 1;LENDAH;KULONPROGO;DK;973-927-3447
191;13290;EDI MARDIYANTO 1;TEMPEL;SLEMAN;DK;505-975-8559
192;19212;SUJARWANI 2;PENGASIH;KULONPROGO;DK;718-332-6527
193;17521;SUJARWANI 1;PENGASIH;KULONPROGO;DK;904-775-4480
194;14491;ASEP 1;LENDAH;KULONPROGO;DK;510-993-3758
195;13225;IRWAN 5;TEMPEL;SLEMAN;DK;216-657-7668
196;15205;SARIMULAN;KOKAP;KULONPROGO;DK;817-914-7518
197;19156;KAMTO;PANJATAN;KULONPROGO;DK;310-774-7643
198;17521;DALIMIN;SENTOLO;KULONPROGO;DK;847-728-7286
199;13256;KEMAT 2;DONOMERTO, NANGGULAN;KULONPROGO;DK;330-537-5358
200;18387;KEMAT 1;DONOMERTO, NA\;KULONPROGO;DK;215-255-1641
201;18167;SUMINTO;PENGASIH;KULONPROGO;DK;650-803-1936
202;17132;TEKNO 1;BANYUROTO, NANGGULAN;KULONPROGO;DK;626-572-1096
203;13276;IRWAN 4;MERDIKOREJO, TEMPEL;SLEMAN;DK;254-782-8569
204;13307;IRWAN 2;GIRIKERTO, TURI;SLEMAN;DK;907-870-5536
